opportunity_id,lead_id,pipeline_stage,deal_value_usd,probability_percent,aging_days,expected_close_date,assigned_rep,lost_reason
O00001,L03632,Technical Consultation,56513,47.0,26,2026-08-02,Rahul Mehta,
O00002,L00030,Lost,288517,0.0,25,2026-04-30,Priya Shah,Delayed Initiative
O00003,L04730,Proposal Shared,68838,61.0,1,2026-04-08,Neha Joshi,
O00004,L04753,Technical Consultation,127615,,28,2026-03-25,Karan Desai,
O00005,L04093,Solution Discussion,289734,69.0,49,2025-11-19,Amit Patel,
O00006,L01582,Proposal Sent,49284,81.0,9,2026-04-13,Priya Shah,
O00007,L02097,Technical Consultation,228409,86.0,55,2026-01-08,Priya Shah,
O00008,L00847,Proposal Shared,466217,35.0,44,2026-06-20,Neha Joshi,
O00009,L01934,Closed Won,15886,100.0,20,2026-04-09,Amit Patel,
O00010,L02932,Proposal Shared,213093,72.0,32,2026-06-19,Amit Patel,
O00011,L00176,Negotiation,32853,44.0,66,2026-07-05,Priya Shah,
O00012,L02802,Proposal Shared,11580,39.0,49,2026-04-10,Neha Joshi,
O00013,L02280,Proposal Sent,48587,69.0,35,2026-05-02,Neha Joshi,
O00014,L00052,Proposal Shared,82071,67.0,30,2026-03-29,Amit Patel,
O00015,L03683,Closed Won,394162,100.0,36,2026-05-16,Amit Patel,
O00016,L03374,Solution Discussion,441273,29.0,24,2026-05-28,Karan Desai,
O00017,L02083,Proposal Shared,265868,36.0,1,2026-05-19,Neha Joshi,
O00018,L03956,Negotiation,204261,49.0,75,2026-01-17,Rahul Mehta,
O00019,L00898,Negotiation,322154,68.0,38,2026-09-01,Amit Patel,
O00020,L04560,Inbound Lead,89175,58.0,42,2026-06-11,Amit Patel,
O00021,L03151,Closed Lost,473292,0.0,33,2026-01-15,Karan Desai,
O00022,L01065,Technical Consultation,135322,51.0,20,2025-12-28,Karan Desai,
O00023,L04812,Closed Lost,45692,0.0,31,2025-12-30,Rahul Mehta,Delayed Initiative
O00024,L02212,Tech Call,42107,64.0,3,2026-01-17,Neha Joshi,
O00025,L01572,Tech Call,112273,,80,2026-04-09,Neha Joshi,
O00026,L03351,Won,34103,100.0,10,2026-08-14,Neha Joshi,
O00027,L04492,Closed Won,42801,100.0,14,2026-05-04,Rahul Mehta,
O00028,L00907,Closed Lost,395964,0.0,26,2026-05-21,Amit Patel,Delayed Initiative
O00029,L01553,Lost,117697,0.0,60,2026-07-06,Karan Desai,Delayed Initiative
O00030,L00723,Proposal Shared,21212,68.0,35,2026-05-06,Priya Shah,
O00031,L02422,Negotiation,73532,49.0,10,2026-04-28,Amit Patel,
O00032,L02729,Lost,397974,0.0,60,2026-05-31,Karan Desai,Delayed Initiative
